City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,sanya,18.2431,109.505,27.09,89,40,1.0,CN,1724540305
290,arar,30.9753,41.0381,34.01,16,0,6.17,SA,1724540306
291,laren,52.2567,5.2278,16.68,94,99,1.79,NL,1724540307
292,bireun,5.203,96.7009,25.06,87,100,2.9,ID,1724540309
293,manado,1.487,124.8455,24.43,94,20,0.51,ID,1724540310
294,kerikeri,-35.2268,173.9474,15.41,63,9,1.69,NZ,1724540311
295,verkhnevilyuysk,63.4453,120.3167,14.48,97,100,3.0,RU,1724540312
296,fort st. john,56.2499,-120.8529,15.94,67,75,2.06,CA,1724540313
297,yenifakili,39.2114,35.0004,18.0,67,39,5.64,TR,1724540315
298,iskateley,67.6803,53.1512,14.2,80,94,4.23,RU,1724540317
299,richards bay,-28.783,32.0377,18.77,67,0,7.64,ZA,1724540294
300,dum duma,27.5667,95.5667,25.17,99,100,0.75,IN,1724540319
301,mata-utu,-13.2816,-176.1745,26.67,77,100,10.89,WF,1724540320
302,fomboni,-12.28,43.7425,25.52,72,51,7.17,KM,1724540321
303,punta del este,-34.9667,-54.95,8.82,86,75,6.17,UY,1724540322
304,devoto,-31.4043,-62.3063,9.1,49,72,3.48,AR,1724540323
305,portland,45.5234,-122.6762,21.72,59,100,2.06,US,1724540325
306,ulaangom,49.9811,92.0667,15.77,39,19,0.49,MN,1724540326
307,fauske,67.2588,15.3918,10.53,76,58,3.31,NO,1724540327
308,changyon,38.2508,125.0961,25.41,84,7,1.16,KP,1724540328
309,dapchi,12.4904,11.4944,26.4,69,99,4.43,NG,1724540329
310,massawa,15.6097,39.45,29.13,75,84,1.81,ER,1724540330
311,gopalpur,19.2667,84.9167,25.94,85,100,2.6,IN,1724540331
312,skovorodino,53.9833,123.9167,13.1,97,100,3.24,RU,1724540332
313,katsuren-haebaru,26.3369,127.8719,29.21,91,75,2.06,JP,1724540334
314,piti village,13.4626,144.6933,29.83,82,40,1.54,GU,1724540335
